timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733316495242,78138,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-112,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495556,77822,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-164,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495783,77595,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-221,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495227,78151,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-108,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495145,78233,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-93,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495234,78144,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-103,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495289,78089,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-122,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495407,77970,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-145,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495768,77610,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-218,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495794,77583,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-222,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495141,78235,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-91,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495794,77584,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-223,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494979,78397,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-60,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494833,78543,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-6,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,54
1733316495703,77672,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-205,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495559,77815,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-176,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
